Datum;Dan u tj.;Doručak;Kalorije (kcal);Ručak;Kalorije (kcal).1;Večera;Kalorije (kcal).2;Ukupno;Potrošio;Aktivnost;Kcal Potrošeno;Kg;;;;;
3.ožu;SRI;2x snedvič (č.s.k) + protein puding;770;Ćufte + kruh;1040;Kuglice + 2x keks;300;2110;2000;;;;;;;;
4.ožu;ČET;1x sendvič (b.m.s.k) + 2x keks;440;2x sendvič (b.m.s.k);810;2x sendvič (ć.s.k);740;1990;2000;;;;;;;;
5.ožu;PET;2x sendvič (č.s.k) + 2x keks;700;1x ćufta + kruh + kviki gric;630;2x sendvič (s.s.k) + kuglice;840;2170;2000;;;;;;;;
6.ožu;SUB;2x sendvič (pašteta, mladi luk);630;2x tortille;1050;2x tortille + kviki gric;1645;3325;2000;;;;;;;;
7.ožu;NED;2x topla sendviča;800;2x tortille;1050;kviki gric + tuc (pašteta, m.luk) + kuglice;1165;3015;2000;;;;;;;;
8.ožu;PON;2x sendvič (s.s.k);620;1x sendvič (p.s.k) + kuglice;580;1x burek + 3x šnite kruha (koba, s. sir) + sok;1765;2965;2000;;;;;;;;
9.ožu;UTO;2x sendvič (s.s.k);620;Kruh + kobasica + sir + sok;1135;Hrenovke + peciva + ketchup;770;2525;2000;;;;;;;;
10.ožu;SRI;2x sendvič (p.s.k);720;1x tanjur gulaša + kuglice;880;2x sendvič (p.s.k) + napolitanke;1220;2820;2000;;;;;;;;
11.ožu;ČET;Napolitanke + pečena tortilla;605;Kruh s paštetom;230;B. meso + riža;1115;1950;2000;;;;;;;;
12.ožu;PET;5x šnita domaćeg kruha (s.s.k);775;B. meso + riža;860;Lisnato s salamom (k.s);1000;2635;2000;;;;;;;;
13.ožu;SUB;2x sendvič (s.s.k) + sok;770;B. meso + pire;680;4x komada pizze;800;2250;2000;;;;;;;;
14.ožu;NED;2x sendvič (s.s.k) + sok;770;Kuhana-pečena puretina + pomfrit;855;2x sendvič (p.b.m.s.k) + sok + kokice + 1x s.;1580;3205;2000;;;;;;;;
15.ožu;PON;Preklopljena pizza;470;B. meso + pomfrit + ketchup;1005;1x sendvič (b.m.s.k) + 3x kruha (s.s.k) + sok;1360;2835;2000;;;;;;;;
16.ožu;UTO;1x sendvič (s.s.k);460;2x tanjura špageta;1320;1x tanjur špageta;660;2440;2000;;;;;;;;
17.ožu;SRI;2x sendvič (s.s.k);620;Ćevapi + lepinje;1145;Kajgano sa salamom i mladim lukom;780;2545;2500;;;;;;;;
18.ožu;ČET;1x sendvič (s.s.k);310;B. meso + ketchup +pecivo;1020;Čips;530;1860;2000;;;;;;;;
19.ožu;PET;1x sendvič (s.s.k);310;B.meso + ketchup + pecivo;1020;2x sendvič (s.s.k) + oblatne + kokice;1350;2680;2000;;;;;;;;
20.ožu;SUB;2x sendvič (s.s.k);620;Čobanac + kruh;780;Lidl pizza;820;2220;2000;;;;;;;;
21.ožu;NED;2x sendvič (č.s.m.l);580;Pureće kuglice + sos + kruh;850;2x sendvič (m.k.s.m.l.);620;2050;2000;;;;;;;;
22.ožu;PON;2x sendvič (m.k.s.m.l.);620;Pohana puretina + malo vrhnja + lepinjica;660;2x sendvič (p.b.m.s.k);680;1960;2000;;;;;;;;
23.ožu;UTO;2x sendvič (č.s.k);620;Pohana puretina + ketchup + pecivo;525;1x tanjur graha + kruh + 2x sendvič;1250;2395;2000;;;;;;;;
24.ožu;SRI;2x sendvič (č.s.m.l);620;Grah s tijestom;660;Grah s tijestom 1x sendvič (č.s.m.l);730;2010;2000;;;;;;;;
25.ožu;ČET;2x sendvič (č.s.m.l) + 1x sendvič (č.s.m.l);930;B. meso + riža;620;Dvokek (s.s.m.l);540;2090;2000;;;;;;;;
26.ožu;PET;2x sendvič (s.s.k);620;2x tanjura špageta;1320;1x tanjur špageta + jabuka;600;2540;2000;;;;;;;;
27.ožu;SUB;3x šnite domaćeg kruha (pašteta, maldi luk);615;Juha + b.meso (kornfleks) + grašak;1005;b.meso (kornfleks) + grašak;905;2525;2000;;;;;;;;
28.ožu;NED;3x šnite domaćeg kruha (pašteta, maldi luk);645;Juha + b.meso (kornfleks) + pire;880;Kruh s kobasicom + pašteta + m. luk;1460;2985;2000;;;;;;;;
29.ožu;PON;Kruh s kobasicom + mladi luk;580;1x lepinja (s.m.s);595;Kajgano sa salamom i kruhom + kokice;1330;2505;2000;;;;;;;;
30.ožu;UTO;1x sendvič (s.s.k);310;2x sendvič (s.s.k) + b.meso (soja sos) + riža;1360;2x sendvič (p.s.k);700;2370;2000;;;;;;;;
31.ožu;SRI;2x sendvič (s.s.k) + banana;730;2x faširanca + mahune + kruh;610;/;0;1340;2000;;;;;;;;
1.tra;ČET;1x sendvič (f.s.k);360;Pizza;1350;2x sendvič (s.s.k);620;2330;2000;;;;;;;;
2.tra;PET;2x topla sendviča + malo tamne čok.;885;Pizza;1050;3x peciva + pašteta;750;2685;2000;;;;;;;;
3.tra;SUB;2x peciva + pašteta + mladi luk;570;1,5x tanjur krumpir-tijesta + moj kolač;1140;4x šnite kruha (k.s.m.l) + 1x krepmita;1310;3020;2000;;;;;;;;
4.tra;NED;Uskršnji doručak + 6x oreo keksa + 1x čupavac;1230;B. meso + krumpir + čupavac;990;3x šnite kurha + čips + oreo keksi;1620;3840;2000;;;;;;;;
5.tra;PON;Uskršnji doručak 2. dio;415;2x pohana sendviča + krempita;1210;napolitanke + dvopek (s.m.l);1280;2905;2000;;;;;;;;
6.tra;UTO;2x sendvič (s.s.k) + moj kolač + napolitanke;930;B. meso + ketchup + pecivo + kolač;1170;2x punjene palačinke + oreo + krempita;1020;3120;2000;;;;;;;;
7.tra;SRI;2x topla sendviča;800;B. meso + kruh + nesto;845;kruh pašteta + oreo + nešto;1160;2805;2000;;;;;;;;
8.tra;ČET;Pahuljice;320;B. meso + kruh + sok;615;3x topla sendviča + ceda + oreo + malo čoko.;1720;2655;2000;;;;;;;;
9.tra;PET;3x topla sendviča + ceda + kuglice;1470;1x tanjur špageta;660;Čips;530;2660;2000;;;;;;;;
10.tra;SUB;1x tanjur špageta + 1x paket evite;860;1x tanjur špageta + BBQ piletina + pire;1460;Čips + 1x paket evite;720;3040;2000;;;;;;;;
11.tra;NED;2x sendvič (s.s.k.m.l);730;11x ćevapa + lepinja + malo vrhnja + b. meso;1535;8x ćevapa + lepinja + malo vrhnja + b. meso;970;3235;2000;;;;;;;;
12.tra;PON;1x sendvič (s.s.k.m.l) + ceda;620;Ostaci + lepinja;540;2x sendvič (p.s.m.l);680;1840;2000;;;;;;;;
13.tra;UTO;2x topla sendviča + malo domaće paštete + evita;1120;Kajgano + salama + m. luk + pecivo;670;čoko. + 2x peciva (d.p.m.l) + evita;920;2710;2000;;;;;;;;
14.tra;SRI;3x peciva (p.s.k);735;B. meso + riža + evita;650;2x sendvič (s.s.k);620;2005;2000;;;;;;;;
15.tra;ČET;2x sendvič (s.s.k) + ceda;670;2x faširanca + kuglice riže + mahune + čoko;640;2x sendvič (f.s.k);640;1950;2000;;;;;;;;
16.tra;PET;2x sendvič (s.s.k);620;Dvopek (s.s.k) + sok + evita;1010;Pizza;1350;2980;2000;;;;;;;;
17.tra;SUB;2x sendvič (s.m.s.m.l);770;Zabatci + kroketi + evita;1330;domaći kruh (č.s.m.l) + pahuljice + krekeri;1270;3370;2000;;;;;;;;
18.tra;NED;3x sendvič (č.s.m.l) + čoko;1140;Faširanci + pire + juha;510;2x sendivč (f.s.m.l) + kokice + ceda;1190;2840;2000;;;;;;;;
19.tra;PON;2x sendvič (k.s) + kuglice;880;sladoled + ced + 3x tortille;1710;čoko. ;100;2690;2000;;;;;;;;
20.tra;UTO;2x sendivč (s.m.s.m.l) + 2x oreo + kuglice;1240;B. meso u kornfelksu + riža;790;2x kifle + 2x kifle (s.m.s);860;2890;2200;;;;;;;;
21.tra;SRI;3x kifle + pašteta + kuglice + smoki;1345;Rolada + paprificirani krumpir;780;evita;1150;3275;2000;;;;;;;;
22.tra;ČET;2x sendvič (s.s.k.m.l) + merci + smoki;1050;Rolada od jučer + mladi luk + pecivo + ceda;595;2x sendvič (s.m.s.m.l) + evita;970;2615;2000;;;;;;;;
23.tra;PET;2x sendvič (s.m.s.m.l) + smoki;1040;B.meso + ketchup + pecivo + sladoled;1050;2x sendvič (s.m.s) + sladoled;920;3010;2000;;;;;;;;
24.tra;SUB;2x sendvič (s.m.s.m.l);770;Piletina + tijesto;535;3x šnite domaćg kruha (p.m.l) + ceda + slado;865;2170;2300;;;;;;;;
25.tra;NED;2x šnite domaćeg kruha (p.m..l);410;2x hamburger + 2x čoko;1320;2x sendivč (s.s.k) + ceda + oreo;1160;2890;2000;;;;;;;;
26.tra;PON;2x sendvič (s.s.k.m.l);660;2x hamburger;1260;/;0;1920;2500;;;;;;;;
27.tra;UTO;2x sendvič (s.s.k) + kikiriki;850;B. meso + kroketi;1085;2X sendvič (s.s.k) + kikiriki;850;2785;2000;;;;;;;;
28.tra;SRI;2x sendvič (s./p.s.k);650;1x tanjur špageta;660;1x tanjur špageta + sok od jabuke;810;2120;2000;;;;;;;;
29.tra;ČET;Pahuljice;320;B. meso + riža;620;B. meso + riža;450;1390;2000;;;;;;;;
30.tra;PET;Pahuljice;320;Ćufte + pire + kruh;630;4x kifle + pašteta + 3x + pašteta;1275;2225;2000;;;;;;;;
1.svi;SUB;9x20 dl soka + 6x čevapa + 4x piletine + 4x kruha + pahuljice + čips + 3x komada pizze + čips + 1x palačinka;;;;;2960;2960;2700;;;;;;;;
2.svi;NED;5x20 dL soka + ketchup + 3x čevapa + 3x piletine + 2x kruh + pahuljice;;;1195;3x čufte + 5x kiflica + kikiriki;1200;2395;2200;;;;;;;;
3.svi;PON;2x sendvič (p.m.l) + pahuljice;880;1,5x tanjur krumpir-tijesta;990;1x tanjur krumpir-tijesta + pahuljice;920;2790;2000;;;;;;;;
4.svi;UTO;Pohani kruh + salama + mladi luk;1000;Pureće b.meso + krumpir ;625;2x sendvič (s.s.k.m.l) + pahuljice;1080;2705;2000;;;;;;;;
5.svi;SRI;dvopek + salama + sirić + domaće pecivo;770;Pureće b.meso + riža;540;Čips + 2x sendvič (s.s.k.m.l.č);1430;2740;2000;;;;;;;;
6.svi;ČET;/;0;Pizza + protein puding;1650;5x kiflice (p.m.l.k) + 3x 7days ;900;2550;2000;;;;;;;;
7.svi;PET;3x puž bureka;1050;3x puž bureka;1050;spicy smoki + evita + 2x sendvič + kuglice;1415;3515;2000;;;;;;;;
8.svi;SUB;2x topla sendviča + sok;820;Čips;805;Pizza + palačinke;1350;2975;2000;;;;;;;;
9.svi;NED;Dvopek + salama + sirić + ketchup;730;Big mac + pomfrit + 6x nuggetsa;1210;2x kuglice + 2x kfile + pašteta;960;2900;2000;;;;;;;;
10.svi;PON;2x mini peciva (s.s.k);370;3x grillana tortille + malo m&m;1190;2x sendvič (s.s.k);620;2180;2000;;;;;;;;
11.svi;UTO;/;0;2x hamburgera;1555;2x slanca + pašteta + kuglice;975;2530;2150;;;;;;;;
12.svi;SRI;2x slanca + pašteta;590;B.meso + riža;490;2x sendvič (s.s.k.m.l) + keks;790;1870;2100;;;;;;;;
13.svi;ČET;1x sendvič (s.s.k) + keks;420;Grah s tijestom + 2x faširanca + vrhnje;1180;Grah s tijestom + keks + 2x sendvič (s.s.k);1670;3270;2150;;;;;;;;
14.svi;PET;8x forneta;400;B.meso + pire;575;2x sendvič (b.m.s.k.m.l);720;1695;2000;;;;;;;;
15.svi;SUB;2x sendvič (b.m.s.k.m.l) + protein puding + bananko;820;Kobasica + grašak;520;Protein puding + forneti;1760;3100;2050;;;;;;;;
16.svi;NED;Forneti + protein jogurt;750;Malo zabatka + 3x lepinjice + kuglice;615;4x šnitice (p.m.l) + kuglice + kokice;1340;2705;2000;;;;;;;;
17.svi;PON;2x mini sendivča (č.s.k);250;6x mini šnite (s.s.k) + spicy čips + kuglice;1080;2x tanjur špageta ;1320;2650;2050;;;;;;;;
18.svi;UTO;1x sendvič (č.s.k);400;1x tanjur špageta + 1x sendvič (č.s.k);1060;1x pahuljica + 2x sendvič (č.s.k);1370;2830;2000;;;;;;;;
19.svi;SRI;2x sendvič (s.s.k) + evita;860;B.meso + pire;535;2x sendvič (s.s.k);620;2015;2000;;;;;;;;
20.svi;ČET;1x + 2x sendvič (s.s.k) + petit keksi;1210;3x lisnato sa sirom i mesom;900;Sladoled;200;2310;2000;;;;;;;;
21.svi;PET;1x + 2x sendvič (s.s.k);930;Protein puding + krumpir-tijesto;810;4x šnite domaćeg kruha (m.luk + pašteta);750;2490;2050;;;;;;;;
22.svi;SUB;2x lisnato sa sirom i mesom + protein puding;810;1,5x faširanca + riža;470;/;0;1280;2000;;;;;;;;
23.svi;NED;2x šnite kruha (sirić);240;B.meso + krumpir;555;Ribice + b.meso + krumpir + pereci;1015;1810;2000;;;;;;;;
24.svi;PON;2x mini sendvič (sirić) + 2x sendvič (s.s.k);980;petit keksi + pureći noodles;780;2x sendvič (s.s.k);620;2380;2000;;;;;;;;
25.svi;UTO;1x sendvič (s.s.k) + dvopek (s.s.k);1040;2x lidl pizza;1350;Sladoled;210;2600;2000;;;;;;;;
26.svi;SRI;1x sendvič (s.s.k);310;B. meso + kroketi;1185;2x topla sendviča + malo čoko;810;2305;2300;;;;;;;;
27.svi;ČET;1x sendvič (s.s.k) + sirnica;730;B. meso + kroketi;1185;Sladoled + 2x sendvič (s.s.k);930;2845;2200;;;;;;;;
28.svi;PET;1x sendvič (s.s.k) + 1x sendvič (čs.k);650;1x tanjur graha + 2x šnite kruha;630;Roštilj + dodaci + torta + 2 sendvič (č.s.k);1570;2850;2000;;;;;;;;
29.svi;SUB;2 sendvič (č.s.k) + sladoled;830;Grah s tijestom + čoko.;740;2 sendvič (č.s.k) + čoko. + grah;1360;2930;2050;;;;;;;;
30.svi;NED;2 sendvič (č.s.k) + čoko.;780;Krizma + pizza + čoko.;1635;2x sendvič (č.m.s);900;3315;2100;;;;;;;;
31.svi;PON;2x sendvič (č.m.s);720;3x kifle;375;B. meso + riža + sladoled;945;2040;2100;;;;;;;;
1.lip;UTO;2x sendvič (č.s.k.m.l);660;/;0;2x tanjura špageta;1320;1980;2000;;;;;;;;
2.lip;SRI;2x sendvič (č.s.k.m.l) + ribice;1040;2,5x faširanca + pire;550;2x sendvič (f.s.k.m.l) + ribice;1045;2635;2000;;;;;;;;
3.lip;ČET;2x sendvič (č.s.k.m.l);660;3x faširanca + kroketi;790;2x hamburgera + 2x sendvič (s.s.k);1520;2970;2050;;;;;;;;
4.lip;PET;2x sendvič (s.s.k);620;/;0;2x hotdoga + 2x sendvič (s.s.k) + krekeri;1730;2350;2050;;;;;;;;
5.lip;SUB;2x sendvič (č.s.k) + ceda;710;3x tortille;1455;3x komada pizza + ceda + ribice;1150;3315;2200;;;;;;;;
6.lip;NED;2x tortille;970;Ribice;205;Kroasane;1040;2215;2000;;;;;;;;
7.lip;PON;Kroasane + pašteta + jogrut;1185;B.meso + grašak;865;2x sendvič (č.s.k) + ceda;710;2760;2000;;;;;;;;
8.lip;UTO;1x sendvič (č.s);290;B.meso + pomfrit + ketchup + jogurt;1365;2x peciva (bms.m.l) + sladoled + bobi tuc;1475;3130;2000;;;;;;;;
9.lip;SRI;1x sendvič (s.s.k);310;Čufte + kruh;915;2x sendvič (č.s.k.m.l) + ceda + sladoled;1005;2230;2150;;;;;;;;
10.lip;ČET;1x sendvič (č.s);290;2x tortille (čufte) + sladoled;1110;2x sendvič (č.s.k.m.l) + banana;820;2220;2050;;;;;;;;
11.lip;PET;1x sendvič (č.m.s);350;Kajgano + pecivo + sladoled;985;2x sendvič (č.s.k) + napolitanke;1160;2495;2200;;;;;;;;
12.lip;SUB;2x sendvič (šunkarica, sirić);560;Pizza;1050;Komad pizze + sendvič (s.s.k.m.l);505;2115;2050;;;;;;;;
13.lip;NED;2x sendvič (s.s.k.m.l);660;Roštiljke + kroketi + sladoled + kikiriki + sok;1980;napolitanke;405;3045;2050;;;;;;;;
14.lip;PON;3x topla sendviča + ceda;920;2x sendvič (pekara);840;B.meso + grašak;515;2275;2000;;;;;;;;
15.lip;UTO;2x sendvič (s.s.k.m.l) + kuglice;880;2x tanjura špageta;1320;1x tanjur špageta + sladoled;960;3160;2000;;;;;;;;
16.lip;SRI;1x tanjur špageta;660;Kajgano + kokice;1020;2x sendvič (č.s.k.m.l) + kuglice;870;2550;2000;;;;;;;;
17.lip;ČET;2x sendvič (č.s.k);620;Čips + cedevita + b.meso + riža;1050;Čips + protein puding;970;2640;2000;;;;;;;;
18.lip;PET;Čips + protein puding;990;3x topla sendviča + grah + kruh;1685;Čips + čoko + kviki gric;1125;3800;2000;;;;;;;;
19.lip;SUB;2x sendvič (č.s.k) + protein puding + sok;910;3x tortille;1455;2x sendvič (p.s.k) + čips + kviki gric;1410;3775;2000;;;;;;;;
20.lip;NED;2x sendvič (č.s.k) + sladoled;920;B.meso + sos + kruh;600;Kviki gric + 2.5x sendvič (p.s.k);1390;2910;2000;;;;;;;;
21.lip;PON;3x topla sendviča + sok + sirić;1350;B.meso + grašak;660;8x šnita kruha + pileći sirić + kikiriki + čoko;1630;3640;2000;;;;;;;;
22.lip;UTO;2x sendvič (s.s.k);620;B.meso + pomfrit + bob i grašak;970;2x sendvič (p.s.K) + kokice;1180;2770;2000;;;;;;;;
23.lip;SRI;2x sendvič (s.s.k) + kuglice;830;B.meso + ketchup + kruh;905;2x sendvič (s.s.k) + domačica;1070;2805;2100;;;;;;;;
24.lip;ČET;2x sendvič (s.s.k);660;5x mini tortilla;1300;2x komada pizze + 2x sendvič;1120;3080;2250;;;;;;;;
25.lip;PET;2x peciva (pašteta) + domačica;1050;2x tanjura špageta;1320;1x tanjur špageta + 2x sendvič;1280;3650;2000;;;;;;;;
26.lip;SUB;2x sendvič (č.s.k);580;B. meso + riža;350;Plata + sok;1100;2030;2200;;;;;;;;
27.lip;NED;Plata + sok;750;Mini sendviči + sok;920;Pohani kruh na komadiće + sladoled + ostaci;1250;2920;2200;;;;;;;;
28.lip;PON;3x topla sendviča + sirić + sok;1290;Pureće b.meso + kroketi;595;Sok + krekeri + sladoled + ostaci;1425;3310;2100;;;;;;;;
29.lip;UTO;3x šnite (s.s.k);630;Mini peciva (p.s.k);525;Čobanac + sladoled;1180;2335;2050;;;;;;;;
30.lip;SRI;2x trokut pizze + 2x trokut pizze;1180;B.meso + ketchup + pecivo + pereci;900;2x sendvič (č.s.k) + pereci;835;2915;2000;;;;;;;;
1.srp;ČET;2x sendvič (č.s.k) + pereci;835;2x hamburgera;1000;2x sendvič (č.s.k) + pereci;870;2705;2250;;;;;;;;
2.srp;PET;2x trokut pizze + 1x sendvič (č.s.k);880;2x hamburgera + pereci;1315;2x sendvič (č.s.k) + pereci + čoko.;1170;3365;2100;;;;;;;;
3.srp;SUB;2x domaća sendviča (s.s.k);670;B.meso + ketchup;410;2x domaća sendviča (s.s.k) + štapići;1070;2150;2000;;;;;;;;
4.srp;NED;2x sendvič (s.m.s);700;B.meso + krumpir;570;2x sendvič (s.m.s) + pereci;915;2185;2000;;;;;;;;
5.srp;PON;2x sendvič (s.m.s);700;Gulaš s tjesteninom;660;2x + 1x sendvič (s.m.s) + kikiriki;1300;2660;2000;;;;;;;;
6.srp;UTO;2x sendvič (s.s.k) + kuglice;790;B.meso + ketchup + pecivo;650;Čips + kiflice;955;2395;2000;;;;;;;;
7.srp;SRI;2x sendvič (s.s.k) + ceda;670;B.meso + riža;680;2x sendvič (s.s.k) + ceda + kuglice;890;2240;2000;;;;;;;;
8.srp;ČET;2x peciva (pašteta);500;Faširanci + sos + tjestenina;1070;2x sendvič (f.s.k) + kuglice + ceda;930;2500;2000;;;;;;;;
9.srp;PET;1x sendvič (s.s.k) + 2x domaći kruh + ceda;860;Faširanci + sos + tjestenina;800;2x domaća sendviča (s.s.k);800;2460;2000;;;;;;;;
10.srp;SUB;2x sendvič (s.s.k);620;Kobasica + pire;475;2x sendvič (s.s.k);620;1715;2000;;;;;;;;
11.srp;NED;2x sendvič (s.m.s);700;1x tanjur chilli con carne;660;1x tanjur chilli + ceda + 2x sendvič (s.m.s);1410;2770;2000;;;;;;;;
12.srp;PON;2x sendvič (p.s.k);700;Pureće b.meso + tjestenina + ceda;655;2x sendvič (s.m.s) + čoko + kikiriki;1390;2745;2000;;;;;;;;
13.srp;UTO;2x sendvič (s.m.s) + čoko;1140;Pohani kruh na kockice + salama;660;2x sendvič (b.m.s.k) + smoki;1470;3270;2000;;;;;;;;
14.srp;SRI;2x topla sendviči + smoki;930;3x faširanca + grašak;790;2x sendvič (f.s.k) + ceda;670;2390;2000;;;;;;;;
15.srp;ČET;2x sendvič (č.s.k) + kviki gric;895;1x tanjur granatira;660;Čips + 2x sendvič (č.m.s);1500;3055;2000;;;;;;;;
16.srp;PET;2x sendvič (č.m.s) + granatir;980;Preklapa;700;Čips + 2x sendvič (č.m.s);1500;3180;2000;;;;;;;;
17.srp;SUB;2x topla sendviča;720;Tortille iz pečnice + tamna čoko.;1250;Kruh + sir + kobasica + torta + čips;1475;3445;2000;;;;;;;;
18.srp;NED;2x sendvič (č.m.s);660;B.meso + pomfrit + ceda;970;Čoko. + smoki + 2x sendvič (č.m.s);1460;3090;2000;;;;;;;;
19.srp;PON;2x sendvič (č.m.s) + protein puding;840;2x čufte + 2x šnite kruha + tamna čoko.;950;2x sendvič (č.m.s) + krekeri;1090;2880;2000;;;;;;;;
20.srp;UTO;2x trokut pizze;590;2x tortille;950;Protein puding + 2x tortille + čoko. + 2x send.;2060;3600;2100;;;;;;;;
21.srp;SRI;2x peciva (pašteta);600;B.meso + sos + tjestenina;865;čoko. + 2x sendvič (b.m.m.s) + ceda;1245;2710;2050;;;;;;;;
22.srp;ČET;2x sendvič (s.m.s) + domaći kruh;850;Faširanci + grašak;560;Faširanci + grašak + kviki gric;1040;2450;2000;;;;;;;;
23.srp;PET;Mini kriške (pašteta) + sok;750;Faširanci + fiš;570;Faširanci + fiš + 2x sendvič + keks;1785;3105;2000;;;;;;;;
24.srp;SUB;2x sendvič (s.m.s) + pahuljice;1050;Pizza;1350;pahuljice;400;2800;2000;;;;;;;;
25.srp;NED;2x sendvič (s.m.s) + pahuljice;1050;BBQ piletina + pire;905;pahuljice + 2x sendvič (s.k.s);1070;3025;2000;;;;;;;;
26.srp;PON;2x sendvič (s.s.k) ;620;1x tanjur špageta;990;čoko. + 1x tanjur špageta;1300;2910;2000;;;;;;;;
27.srp;UTO;2x sendvič (s.s.k) ;620;B.meso + riža + čoko;995;2x sendvič (č.s.k);620;2235;2000;;;;;;;;
28.srp;SRI;2x + 2x sendvič (č.s.k);1240;B.meso + ketchup + pecivo;815;čoko. +  2x sendvič (č.s.k);1060;3115;2000;;;;;;;;
29.srp;ČET;2x sendvič (č.s.k);620;Svašta;2000;2x sendvič (č.s.k);620;3240;2150;;;;;;;;
30.srp;PET;2x sendvič (č.s.k) + oreo;840;1x tanjur tijesto sa sosom;480;1x tanjur tijesto sa sosom + banana + oreo;940;2260;2150;;;;;;;;
31.srp;SUB;2x sendvič (s.s.k);620;B.meso + mini kroketi;1000;sladoled + b.meso + mini kroketi;1275;2895;2000;;;;;;;;
1.kol;NED;2x sendvič (s.m.s);700;B,meso + pire;880;slatko + 2x sendvič (b.m.s.k) + čoko;1140;2720;2000;;;;;;;;
2.kol;PON;Papuk;3470;;;;;3470;2100;;;;;;;;
3.kol;UTO;Papuk;2345;;;;;2345;2250;;;;;;;;
4.kol;SRI;2x sendvič (s.m.s) + krekeri;1130;1x tanjur špageta;660;2x tanjur špageta;1320;3110;2000;;;;;;;;
5.kol;ČET;2x sendvič (s.m.s);700;2x hamburgera;1100;Rođendan;770;2570;2000;;;;;;;;
6.kol;PET;Ostaci;720;kobasica + pire + torta;1100;2x sendvič;620;2440;2000;;;;;;;;
7.kol;SUB;2x sendvič;700;1x pecivo pašteta;270;2x + 2x tortille;2000;2970;2600;;;;;;;;
8.kol;NED;/;0;2x tortille + torta;1320;2x tortille + torta;1320;2640;2200;;;;;;;;
9.kol;PON;2x tortille + sok;1300;Grah + tjestenina;480;3x sendvič (s.m.s) + cedevita + štapići;1360;3140;2200;;;;;;;;
10.kol;UTO;2x topla sendviča + čoko;1060;2x trokut pizze + mali burek sa sirom;1050;1x trokut pizza + kod dome;1550;3660;2100;;;;;;;;
11.kol;SRI;2x sendvič + ceda;750;B.meso + riža;650;2x + 2x sendvič;1400;2800;2000;;;;;;;;
12.kol;ČET;2x sendvič + kokice;1180;Čufte + kruh;510;Čips + čoko + sendvič + 7 days;1670;3360;2000;;;;;;;;
13.kol;PET;2x sendvič;700;čufta + kurh + keksi;980;Čufte + kruh + smoki;900;2580;2000;;;;;;;;
14.kol;SUB;3x šnite kurha + pašteta;435;pizza burek;750;2x sendvič + smoki + sok;1510;2695;2000;;;;;;;;
15.kol;NED;2x sendvič;620;b.meso + pire;750;2x sendvič + sok + keks;1170;2540;2000;;;;;;;;
16.kol;PON;2x sendvič;740;Neki fejk bolonjez;660;2x sendvič ;620;2020;2000;;;;;;;;
17.kol;UTO;2x sendvič¸+ dvopek;1600;B.meso + kroketi;1000;B.meso + kroketi;1000;3600;2100;;;;;;;;
18.kol;SRI;Kifla sa sirom + čajna;630;Faširanci + riža + ledeni čaj + banana;1040;prstići + sok;720;2390;2200;;;;;;;;
19.kol;ČET;2x sendvič + banana ;810;3x sendvič;1050;protein puding + 2x sendvič +banana;1050;2910;2100;;;;;;;;
20.kol;PET;2x sendvič + protein puding;880;1x tanjur grah-tjestenina;660;1x tanjur grah-tjestenina + kruh + pašteta;960;2500;2000;;;;;;;;
21.kol;SUB;2x sendvič;620;Sloppy joe pizza;640;kviki gric + kiflice;1320;2580;2050;;;;;;;;
22.kol;NED;2x sendvič;620;B.meso + pire;740;tuc + pašteta + 2 sendvič;1330;2690;2000;;;;;;;;
23.kol;PON;dvopek sendviči;800;1,5x tanjur granatira;900;tuc + pašteta + 2x sendvič;1350;3050;2250;;;;;;;;
24.kol;UTO;2x sendvič;620;granatir;1100;Hrenovke sendviči;700;2420;2150;;;;;;;;
25.kol;SRI;2x topla sendviča;700;Varivo + pecivo;600;2x sendvič + sok + kolač;1240;2540;2000;;;;;;;;
26.kol;ČET;2x sendvič + sok;740;varivo + kolač;620;BBQ meso + riža + kolač;1145;2505;2000;;;;;;;;
27.kol;PET;2x sendvič + kolač;940;BBQ meso + riža;650;2x sendvič + čoko;1185;2775;2000;;;;;;;;
28.kol;SUB;2x topli sendvič + mini peciva;980;Sos + meso + kruh;370;Čips + perec + pašteta;1560;2910;2000;;;;;;;;
29.kol;NED;2x sendvič;620;Napolitanke + ćevapi + pecivo + vrhnje;1380;Napolitanke + 2x sendvič;970;2970;2000;;;;;;;;
30.kol;PON;2x sendvič;620;Napolitanke;560;Kajgano pecivo + smoki;1380;2560;2000;;;;;;;;
31.kol;UTO;2x sendvič + piškote;890;Pohano b.meso u kornfleksu + pire;815;2x sendvič;700;2405;2000;;;;;;;;
1.ruj;SRI;2x sendvič;750;vairvo s b.mesom ;380;2x sendvič + pereci;1260;2390;2000;;;;;;;;
2.ruj;ČET;2x topli sendvič ;820;čoko. + špageti;1480;špageti;660;2960;2000;;;;;;;;
3.ruj;PET;2x sendvič + linolada;900;Pereci + špageti;2000;2x sendvič;900;3800;2000;;;;;;;;
4.ruj;SUB;mini šnite + linolada;1180;Sos + meso + kruh + juha;485;mini šnite + rođendan;1650;3315;2150;;;;;;;;
5.ruj;NED;2x sendvič;700;2x sendvič;700;2x sendvič;700;2100;2100;;;;;;;;
6.ruj;PON;2x topli sendvič;810;2x topli sendvič + b.meso + riža;1135;Čips + 2x sendvič;1350;3295;2150;;;;;;;;
