Datum;Dan u tj.;Doručak;Doručak (kcal);Ručak;Ručak (kcal);Večera;Večera (kcal);Ukupno;Potrošio;Aktivnost;Aktivnost (kcal);Tjelesna masa (kg)
2020-12-22;UTO;2x sendvič (s.s.k) + kuglice + cedvita;930.0;2x komada b.mesa na grillu + grašak;720.0;2x kiflice + 2x šnite kruha + pašteta;1130.0;2780;2000;;;
2020-12-23;SRI;2x topla sendviča + kuglice + cedevita;1140.0;Malo svinjskog vrata + pire + kruh;465.0;2x sendvič (s.s.k) + ceda + 2x send. (b.m.s.k);1620.0;3225;2000;;;
2020-12-24;ČET;2x topla sendviča ;600.0;1,5x tanjur granatira;990.0;kokice + 4x + 2x klipića (kobasica, slani sir);2810.0;4400;2000;;;
2020-12-25;PET;2x klipića (kobasica, slani sir) + keksi;725.0;1,5x tanjur paprikaša + keksi;1200.0;3x kilpića (pašteta);785.0;2710;2000;;;
2020-12-26;SUB;2x sendvič (s.s.k);720.0;burek (zabatci) + jogurt + kuglice;1080.0;burek (zabatci) + kruh s paštetom;1230.0;3030;2000;;;
2020-12-27;NED;1x sendvič (s.s.k);310.0;Pizza;1350.0;2x sendvič (s.s.k) + jogurt;920.0;2580;2000;;;
2020-12-28;PON;2x sendvič (s.s.k) + kuglice;850.0;b. meso + riža;595.0;2x sendvič (s.m.s) + jogurt + 3x kruh (pašt.);1340.0;2785;2000;;;
2020-12-29;UTO;2x topla sendviča;660.0;Grah + 5x šnita kruha;730.0;3x mini tortille + smoki;1560.0;2950;2000;;;
2020-12-30;SRI;2x sendvič (s.s.k);620.0;3x tortille;1260.0;2x sendvič (s.m.s);800.0;2680;2000;;;
2020-12-31;ČET;2x sendvič (s.m.s);800.0;Pohani kruh + kobasica + slani sir;1380.0;kruh (p+s.k) + obla. + b.m. + pire + p.k. + smo.;1830.0;4010;2000;;;
2021-01-01;PET;3x šnite kurha (slani sir, kobasica)ž;720.0;Puretina + kroketi;600.0;Puretina + kroketi + ketchup + 3x kruh (pašt.);1245.0;2565;2000;;;
2021-01-02;SUB;2x bageta (sir, kobasica) + protein puding;930.0;1x + 1x isnato s puretinom;1040.0;2x sendvič (p.k) + 1x isnato s puretinom;1270.0;3240;2000;;;
2021-01-03;NED;2x sendvič (s.m.s);800.0;Malo zabatka + sos + kruh + protein puding;650.0;2x sendvič (p.s.k) + kuglice + 2x send. (s.m.s);1750.0;3200;2000;;;
2021-01-04;PON;2x sendvič (s.s.k) + jogurt;800.0;B.meso + riža;600.0;6x + 2x kiflice + domaća pileća pašteta;1720.0;3120;2000;;;
2021-01-05;UTO;2x sendvič (b.m.s.k);740.0;1,5x tanjura špageta;990.0;Kajgano (b.m., ostaci špageta) + 1x klipića;710.0;2440;2000;;;
2021-01-06;SRI;7x pohanog kruha (k.ss) + 2x kruh (pašteta);1210.0;1s komad lungića + pire;365.0;3x kruha (s.s.k) + jogurt;885.0;2460;2000;;;
2021-01-07;ČET;2x sendvič (s.s.k);620.0;B.meso na grillu + 4x kroketa;820.0;5x komada jumbo pizze;1000.0;2440;2000;;;
2021-01-08;PET;2x sendvič (s.s.k) + jogurt;800.0;Varivo od mahuna + b. meso;555.0;Kajgano (salama) + pecivo + 2x mini kiflice;870.0;2225;2000;;;
2021-01-09;SUB;1x sendvič (s.s.k);440.0;10x ćevapa + lepinja;1275.0;2x sendvič (s.s.k) + mini krekeri;750.0;2465;2000;;;
2021-01-10;NED;Pohani kruh + salama + šnita kruha;855.0;B.meso + riža;680.0;3x šnite kruha (s.s.k) + kokice;1165.0;2700;2000;;;
2021-01-11;PON;2x sendvič (s.s.k);630.0;B.meso + riža;720.0;2x sendvič (s.s.k) + kuglice;850.0;2200;2000;;;
2021-01-12;UTO;2x sendvič (s.s.k) + kuglice;850.0;1x tanjur krumpir-tijesta;880.0;2x topli sendvič + kokice;1310.0;3040;2000;;;
2021-01-13;SRI;3x domaća hotdoga;960.0;B. meso u soja sosu + grašak;720.0;2x sendvič (s.s.k) + jogurt;830.0;2510;2000;;;
2021-01-14;ČET;4x kiflice + salama + 1x kiflica;925.0;3x faširanca + 2x kiflice + ketchup;770.0;B. meso + grašak + 4x kiflice;1190.0;2885;2000;;;
2021-01-15;PET;2x sendvič (f.s.k);660.0;2x faširanca + vrhnje + pecvio + malo fiša;670.0;1x tanjur fiša + 2x send. (s.s.k) + jogurt;1270.0;2600;2000;;;
2021-01-16;SUB;2x sendvič (č.s.k);580.0;Gulaš + domaći kruh + jogurt;710.0;domaći kruh + salama;1170.0;2460;2000;;;
2021-01-17;NED;2x sendvič (s.s.k);620.0;3x tortille;1455.0;2x tortille;970.0;3045;2000;;;
2021-01-18;PON;2x tortille;970.0;2x faširanca + 2x šnite kruha + vrhnje;470.0;3x sendviča (f.s.k);840.0;2280;2000;;;
2021-01-19;UTO;2x sendvič (m.k);720.0;1x komad sirnice;650.0;2x topla sendviča;800.0;2170;2000;;;
2021-01-20;SRI;2x sendvič (s.m.s);800.0;2x b.meso u kornfleksu + pire;980.0;2x sendvič (b.m.s.k);740.0;2520;2000;;;
2021-01-21;ČET;2x sendvič (b.m.s.k);740.0;2x b.meso u kornfleksu + pire;920.0;2x topla sendviča;800.0;2460;2000;;;
2021-01-22;PET;4.5x šnite kruha (kobasica, sirić);595.0;3x ćufte + 3x šnite kruha;920.0;5.5x šnite kruha (kobasica, sirić);835.0;2350;2000;;;
2021-01-23;SUB;4.5x šnite kruha (kobasica, sirić);735.0;2x čufte + 1x pecivo;670.0;3,5x tanjura čobanca + kruh + torta + čips;2530.0;3935;2000;;;
2021-01-24;NED;2x sendvič (s.s.k);620.0;Otkošteni zabacti + pomfrit;910.0;7x kiflica + salama;950.0;2480;2000;;;
2021-01-25;PON;2x sendvič (s.s.k);620.0;Kajgano (salama) + pecivo;670.0;1x štapići + 0,5x lepinja (kobasica, sirić);1200.0;2490;2000;;;
2021-01-26;UTO;2x sendvič (s.s.k);620.0;B.meso u soja sosu + ketchup + pecivo;685.0;2x sendvič (s.s.k);620.0;1925;2000;;;
2021-01-27;SRI;2x sendvič (s.s.k);620.0;Malo kobasica + grašoto;565.0;2x sendvič (s.m.s) + cedevita + petit;870.0;2055;2000;;;
2021-01-28;ČET;2x sendvič (s.m.s);750.0;B.meso + grašoto;700.0;2x sendvič (b.m.m.s.k) + cedevita;930.0;2380;2000;;;
2021-01-29;PET;2x sendvič (b.m.m.s.k) ;870.0;/;0.0;Pizza koluti + sok + smoki;2490.0;3360;2000;;;
2021-01-30;SUB;4x kiflice + salama;740.0;protein puding + smoki;710.0;1,5x tanjur paprikaša + 4x kiflice;1545.0;2995;2000;;;
2021-01-31;NED;4x pohani kruh (salama/vrhnje);960.0;cedevita + 1x tanjur paprikaša + čips;1020.0;2x sendvič (z.m.s) + sok + 2x kiflice;1090.0;3070;2000;;;
2021-02-01;PON;2x topla sendviča;700.0;2x pečene tortille;1240.0;/;0.0;1940;2000;;;
2021-02-02;UTO;1x pečene tortille + cedevita;680.0;2x tortille + sok;1120.0;2x tortille ;970.0;2770;2000;;;
2021-02-03;SRI;2x topli sendvič + sok;850.0;B. meso + riža;585.0;2x pohana topla sendviča;940.0;2375;2000;;;
2021-02-04;ČET;2x topli sendvič + cedevita;820.0;2x pohana topla sendviča + jogurt;1300.0;1x sendvič (s.m.s) + kockica čokolade;430.0;2550;2000;;;
2021-02-05;PET;2x sendvič (s.m.s) + cedevita;800.0;2x faširanca + mahune;670.0;2x sendvič (f.s.k) + čips+ cedevita;1145.0;2615;2000;;;
2021-02-06;SUB;2x sendvič (s.s.k);620.0;1x tanjur granatira;660.0;1x tanjur granatira + ribice;1140.0;2420;2000;;;
2021-02-07;NED;2x sendvič (s.s.k);620.0;4x kiflice s hrenovkom + 8x forneta;1080.0;3x brusketa + forneti;1300.0;3000;2000;;;
2021-02-08;PON;7x forneta + 6x forneta sa paštetom;670.0;4x forneta + 4x pohani kruh + salama;1000.0;8x pohani kruh + salama;1360.0;3030;2000;;;
2021-02-09;UTO;2x sendvič (č.s.k);580.0;B.meso u soja sosu + pire + 2x napolitanke;890.0;2x topla sendviča;800.0;2270;2000;;;
2021-02-10;SRI;2x pizza troukuta + 2x napolitanke;630.0;1x tanjur gulaša + 2x napolitanke;740.0;2x send. (č.s.k) + puding + 2x send. (s.s.k);1345.0;2715;2000;;;
2021-02-11;ČET;2x topla sendviča;800.0;1x tanjur graha + 2x komada domaćeg kruha;840.0;2x sendvič (s.s.k) + protein puding;765.0;2405;2000;;;
2021-02-12;PET;2x sendvič (č.s.k) + sok + protein puding;945.0;1x tanjur graha + 2x komada domaćeg kruha;840.0;kikiriki + 2x sendvič (č.s.k);900.0;2685;2000;;;
2021-02-13;SUB; 2x sendvič (č.s.k);620.0;1x bajadera + kajgano + pecivo;980.0;3x hamburger + pomfirt + 2x kolač;2465.0;4065;2000;;;
2021-02-14;NED;2x sendvič (s.s.k);620.0;B.meso + pire;740.0;2x s. (b.m.s.k) + 1x bajad. + 2x send. (s.s.k);1410.0;2770;2000;;;
2021-02-15;PON;2x sendvič (s.s.k);620.0;B.meso + domaći kroketi + sos + 2x bajadera;1190.0;2x sendvič (b.m.s.k.k);720.0;2530;2000;;;
2021-02-16;UTO;2x sendvič (s.s.k);620.0;3x sirnica (+ salama, ketchup) + jogurt;1020.0;2x bajadera + 1x sirnica (s.k) + kuglice;860.0;2500;2000;;;
2021-02-17;SRI;1x pecivo (sirić) + 2x šnite kruh (sirić, kugl.) + bom.;890.0;Rižoto s porilukom + 2x šnite kruha;490.0;kuglice + cedevita + bomb. + kikiriki;760.0;2140;2000;;;
2021-02-18;ČET;2x topla sendviča + cedevita;800.0;3x kruh (pašteta) +6x kuglica + 6x kruha;1220.0;6x kuglica + 6x šnita kruha + ledena kava;1060.0;3080;2000;;;
2021-02-19;PET;2x sendvič (mesne kuglice, sirić) + sok od jabuke;800.0;1x tanjur granatira;660.0;12x kiflica + kokice + napolitanke;2150.0;3610;2000;;;
2021-02-20;SUB;2x topla sendviča + sok od jabuke;1000.0;1x tanjur granatira + bomb.;1130.0;2x sendviča (s.m.s) + 1x send. (s.m.s) + kugl-;1380.0;3510;2000;;;
2021-02-21;NED;2x sendvič (č.m.s) + sok od jabuke;950.0;BBQ piletina + paprificirani krumpir + sok;1315.0;2x snedvič (b.m.s.s) + bomb.;950.0;3215;2000;;;
2021-02-22;PON;2x sendvič (b.m.s.k);760.0;2x topla sendviča;800.0;2x tanjur špageta + sok od jabuke + bomb.;1550.0;3110;2000;;;
2021-02-23;UTO;2x sendvič (č.m.s) + bomb.;860.0;2x sendvič (č.s.k);680.0;Pureće b. meso + riša + sok + lidl pizza;1505.0;3045;2000;;;
2021-02-24;SRI;1x sendvič (pb.m.s.k) + sok od jabuke;540.0;Lidl pizza;725.0;3x + 3x pohane palačinke;1875.0;3140;2000;;;
2021-02-25;ČET;2x sendvič (s.m.s) + sok;1000.0;pohana palačinka;375.0;2x +1x tanjur chili con carne + bomb.;1775.0;3150;2000;;;
2021-02-26;PET;1x tanjur chili con carne + sok;1095.0;Kuglice + ceda + 3x pohana topla sendviča;1920.0;2x sendvič (s.m.s);760.0;3775;2000;;;
2021-02-27;SUB;2x sendvič (s.s.k.m.l) + protein puding;810.0;Pizza;1350.0;2x + 2x pizza kiflice;800.0;2960;2000;;;
2021-02-28;NED;2x sendvič (s.s.k.m.l);660.0;Rolada + paprificirani krumpir;990.0;2x sendvič (s.k.m.l.r) + krumpir;1250.0;2900;2000;;;
2021-03-01;PON;1x sendvič (s.s.k);310.0;1x sendvič (s.s.k.m.l) + rolada + sos + kruh;1450.0;2x sendvič (s.s.k.m.l) + bomb.;1040.0;2800;2000;;;
2021-03-02;UTO;1x sendvič (s.s.k) + 1x sendvič (s.s.k.m.l);640.0;Pohano b.meso + riža + lepinjica;810.0;2x sendvič (č.s.k.m.l);660.0;2110;2000;;;
2021-03-03;SRI;2x snedvič (č.s.k) + protein puding;770.0;Ćufte + kruh;1040.0;Kuglice + 2x keks;300.0;2110;2000;;;
2021-03-04;ČET;1x sendvič (b.m.s.k) + 2x keks;440.0;2x sendvič (b.m.s.k);810.0;2x sendvič (ć.s.k);740.0;1990;2000;;;
2021-03-05;PET;2x sendvič (č.s.k) + 2x keks;700.0;1x ćufta + kruh + kviki gric;630.0;2x sendvič (s.s.k) + kuglice;840.0;2170;2000;;;
2021-03-06;SUB;2x sendvič (pašteta, mladi luk);630.0;2x tortille;1050.0;2x tortille + kviki gric;1645.0;3325;2000;;;
2021-03-07;NED;2x topla sendviča;800.0;2x tortille;1050.0;kviki gric + tuc (pašteta, m.luk) + kuglice;1165.0;3015;2000;;;
2021-03-08;PON;2x sendvič (s.s.k);620.0;1x sendvič (p.s.k) + kuglice;580.0;1x burek + 3x šnite kruha (koba, s. sir) + sok;1765.0;2965;2000;;;
2021-03-09;UTO;2x sendvič (s.s.k);620.0;Kruh + kobasica + sir + sok;1135.0;Hrenovke + peciva + ketchup;770.0;2525;2000;;;
2021-03-10;SRI;2x sendvič (p.s.k);720.0;1x tanjur gulaša + kuglice;880.0;2x sendvič (p.s.k) + napolitanke;1220.0;2820;2000;;;
2021-03-11;ČET;Napolitanke + pečena tortilla;605.0;Kruh s paštetom;230.0;B. meso + riža;1115.0;1950;2000;;;
2021-03-12;PET;5x šnita domaćeg kruha (s.s.k);775.0;B. meso + riža;860.0;Lisnato s salamom (k.s);1000.0;2635;2000;;;
2021-03-13;SUB;2x sendvič (s.s.k) + sok;770.0;B. meso + pire;680.0;4x komada pizze;800.0;2250;2000;;;
2021-03-14;NED;2x sendvič (s.s.k) + sok;770.0;Kuhana-pečena puretina + pomfrit;855.0;2x sendvič (p.b.m.s.k) + sok + kokice + 1x s.;1580.0;3205;2000;;;
2021-03-15;PON;Preklopljena pizza;470.0;B. meso + pomfrit + ketchup;1005.0;1x sendvič (b.m.s.k) + 3x kruha (s.s.k) + sok;1360.0;2835;2000;;;
2021-03-16;UTO;1x sendvič (s.s.k);460.0;2x tanjura špageta;1320.0;1x tanjur špageta;660.0;2440;2000;;;
2021-03-17;SRI;2x sendvič (s.s.k);620.0;Ćevapi + lepinje;1145.0;Kajgano sa salamom i mladim lukom;780.0;2545;2500;;;
2021-03-18;ČET;1x sendvič (s.s.k);310.0;B. meso + ketchup +pecivo;1020.0;Čips;530.0;1860;2000;;;
2021-03-19;PET;1x sendvič (s.s.k);310.0;B.meso + ketchup + pecivo;1020.0;2x sendvič (s.s.k) + oblatne + kokice;1350.0;2680;2000;;;
2021-03-20;SUB;2x sendvič (s.s.k);620.0;Čobanac + kruh;780.0;Lidl pizza;820.0;2220;2000;;;
2021-03-21;NED;2x sendvič (č.s.m.l);580.0;Pureće kuglice + sos + kruh;850.0;2x sendvič (m.k.s.m.l.);620.0;2050;2000;;;
2021-03-22;PON;2x sendvič (m.k.s.m.l.);620.0;Pohana puretina + malo vrhnja + lepinjica;660.0;2x sendvič (p.b.m.s.k);680.0;1960;2000;;;
2021-03-23;UTO;2x sendvič (č.s.k);620.0;Pohana puretina + ketchup + pecivo;525.0;1x tanjur graha + kruh + 2x sendvič;1250.0;2395;2000;;;
2021-03-24;SRI;2x sendvič (č.s.m.l);620.0;Grah s tijestom;660.0;Grah s tijestom 1x sendvič (č.s.m.l);730.0;2010;2000;;;
2021-03-25;ČET;2x sendvič (č.s.m.l) + 1x sendvič (č.s.m.l);930.0;B. meso + riža;620.0;Dvokek (s.s.m.l);540.0;2090;2000;;;
2021-03-26;PET;2x sendvič (s.s.k);620.0;2x tanjura špageta;1320.0;1x tanjur špageta + jabuka;600.0;2540;2000;;;
2021-03-27;SUB;3x šnite domaćeg kruha (pašteta, maldi luk);615.0;Juha + b.meso (kornfleks) + grašak;1005.0;b.meso (kornfleks) + grašak;905.0;2525;2000;;;
2021-03-28;NED;3x šnite domaćeg kruha (pašteta, maldi luk);645.0;Juha + b.meso (kornfleks) + pire;880.0;Kruh s kobasicom + pašteta + m. luk;1460.0;2985;2000;;;
2021-03-29;PON;Kruh s kobasicom + mladi luk;580.0;1x lepinja (s.m.s);595.0;Kajgano sa salamom i kruhom + kokice;1330.0;2505;2000;;;
2021-03-30;UTO;1x sendvič (s.s.k);310.0;2x sendvič (s.s.k) + b.meso (soja sos) + riža;1360.0;2x sendvič (p.s.k);700.0;2370;2000;;;
2021-03-31;SRI;2x sendvič (s.s.k) + banana;730.0;2x faširanca + mahune + kruh;610.0;/;0.0;1340;2000;;;
2021-04-01;ČET;1x sendvič (f.s.k);360.0;Pizza;1350.0;2x sendvič (s.s.k);620.0;2330;2000;;;
2021-04-02;PET;2x topla sendviča + malo tamne čok.;885.0;Pizza;1050.0;3x peciva + pašteta;750.0;2685;2000;;;
2021-04-03;SUB;2x peciva + pašteta + mladi luk;570.0;1,5x tanjur krumpir-tijesta + moj kolač;1140.0;4x šnite kruha (k.s.m.l) + 1x krepmita;1310.0;3020;2000;;;
2021-04-04;NED;Uskršnji doručak + 6x oreo keksa + 1x čupavac;1230.0;B. meso + krumpir + čupavac;990.0;3x šnite kurha + čips + oreo keksi;1620.0;3840;2000;;;
2021-04-05;PON;Uskršnji doručak 2. dio;415.0;2x pohana sendviča + krempita;1210.0;napolitanke + dvopek (s.m.l);1280.0;2905;2000;;;
2021-04-06;UTO;2x sendvič (s.s.k) + moj kolač + napolitanke;930.0;B. meso + ketchup + pecivo + kolač;1170.0;2x punjene palačinke + oreo + krempita;1020.0;3120;2000;;;
2021-04-07;SRI;2x topla sendviča;800.0;B. meso + kruh + nesto;845.0;kruh pašteta + oreo + nešto;1160.0;2805;2000;;;
2021-04-08;ČET;Pahuljice;320.0;B. meso + kruh + sok;615.0;3x topla sendviča + ceda + oreo + malo čoko.;1720.0;2655;2000;;;
2021-04-09;PET;3x topla sendviča + ceda + kuglice;1470.0;1x tanjur špageta;660.0;Čips;530.0;2660;2000;;;
2021-04-10;SUB;1x tanjur špageta + 1x paket evite;860.0;1x tanjur špageta + BBQ piletina + pire;1460.0;Čips + 1x paket evite;720.0;3040;2000;;;
2021-04-11;NED;2x sendvič (s.s.k.m.l);730.0;11x ćevapa + lepinja + malo vrhnja + b. meso;1535.0;8x ćevapa + lepinja + malo vrhnja + b. meso;970.0;3235;2000;;;
2021-04-12;PON;1x sendvič (s.s.k.m.l) + ceda;620.0;Ostaci + lepinja;540.0;2x sendvič (p.s.m.l);680.0;1840;2000;;;
2021-04-13;UTO;2x topla sendviča + malo domaće paštete + evita;1120.0;Kajgano + salama + m. luk + pecivo;670.0;čoko. + 2x peciva (d.p.m.l) + evita;920.0;2710;2000;;;
2021-04-14;SRI;3x peciva (p.s.k);735.0;B. meso + riža + evita;650.0;2x sendvič (s.s.k);620.0;2005;2000;;;
2021-04-15;ČET;2x sendvič (s.s.k) + ceda;670.0;2x faširanca + kuglice riže + mahune + čoko;640.0;2x sendvič (f.s.k);640.0;1950;2000;;;
2021-04-16;PET;2x sendvič (s.s.k);620.0;Dvopek (s.s.k) + sok + evita;1010.0;Pizza;1350.0;2980;2000;;;
2021-04-17;SUB;2x sendvič (s.m.s.m.l);770.0;Zabatci + kroketi + evita;1330.0;domaći kruh (č.s.m.l) + pahuljice + krekeri;1270.0;3370;2000;;;
2021-04-18;NED;3x sendvič (č.s.m.l) + čoko;1140.0;Faširanci + pire + juha;510.0;2x sendivč (f.s.m.l) + kokice + ceda;1190.0;2840;2000;;;
2021-04-19;PON;2x sendvič (k.s) + kuglice;880.0;sladoled + ced + 3x tortille;1710.0;čoko. ;100.0;2690;2000;;;
2021-04-20;UTO;2x sendivč (s.m.s.m.l) + 2x oreo + kuglice;1240.0;B. meso u kornfelksu + riža;790.0;2x kifle + 2x kifle (s.m.s);860.0;2890;2200;;;
2021-04-21;SRI;3x kifle + pašteta + kuglice + smoki;1345.0;Rolada + paprificirani krumpir;780.0;evita;1150.0;3275;2000;;;
2021-04-22;ČET;2x sendvič (s.s.k.m.l) + merci + smoki;1050.0;Rolada od jučer + mladi luk + pecivo + ceda;595.0;2x sendvič (s.m.s.m.l) + evita;970.0;2615;2000;;;
2021-04-23;PET;2x sendvič (s.m.s.m.l) + smoki;1040.0;B.meso + ketchup + pecivo + sladoled;1050.0;2x sendvič (s.m.s) + sladoled;920.0;3010;2000;;;
2021-04-24;SUB;2x sendvič (s.m.s.m.l);770.0;Piletina + tijesto;535.0;3x šnite domaćg kruha (p.m.l) + ceda + slado;865.0;2170;2300;;;
2021-04-25;NED;2x šnite domaćeg kruha (p.m..l);410.0;2x hamburger + 2x čoko;1320.0;2x sendivč (s.s.k) + ceda + oreo;1160.0;2890;2000;;;
2021-04-26;PON;2x sendvič (s.s.k.m.l);660.0;2x hamburger;1260.0;/;0.0;1920;2500;;;
2021-04-27;UTO;2x sendvič (s.s.k) + kikiriki;850.0;B. meso + kroketi;1085.0;2X sendvič (s.s.k) + kikiriki;850.0;2785;2000;;;
2021-04-28;SRI;2x sendvič (s./p.s.k);650.0;1x tanjur špageta;660.0;1x tanjur špageta + sok od jabuke;810.0;2120;2000;;;
2021-04-29;ČET;Pahuljice;320.0;B. meso + riža;620.0;B. meso + riža;450.0;1390;2000;;;
2021-04-30;PET;Pahuljice;320.0;Ćufte + pire + kruh;630.0;4x kifle + pašteta + 3x + pašteta;1275.0;2225;2000;;;
2021-05-01;SUB;9x20 dl soka + 6x čevapa + 4x piletine + 4x kruha + pahuljice + čips + 3x komada pizze + čips + 1x palačinka;;;;;2960.0;2960;2700;;;
2021-05-02;NED;5x20 dL soka + ketchup + 3x čevapa + 3x piletine + 2x kruh + pahuljice;;;1195.0;3x čufte + 5x kiflica + kikiriki;1200.0;2395;2200;;;
2021-05-03;PON;2x sendvič (p.m.l) + pahuljice;880.0;1,5x tanjur krumpir-tijesta;990.0;1x tanjur krumpir-tijesta + pahuljice;920.0;2790;2000;;;
2021-05-04;UTO;Pohani kruh + salama + mladi luk;1000.0;Pureće b.meso + krumpir ;625.0;2x sendvič (s.s.k.m.l) + pahuljice;1080.0;2705;2000;;;
2021-05-05;SRI;dvopek + salama + sirić + domaće pecivo;770.0;Pureće b.meso + riža;540.0;Čips + 2x sendvič (s.s.k.m.l.č);1430.0;2740;2000;;;
2021-05-06;ČET;/;0.0;Pizza + protein puding;1650.0;5x kiflice (p.m.l.k) + 3x 7days ;900.0;2550;2000;;;
2021-05-07;PET;3x puž bureka;1050.0;3x puž bureka;1050.0;spicy smoki + evita + 2x sendvič + kuglice;1415.0;3515;2000;;;
2021-05-08;SUB;2x topla sendviča + sok;820.0;Čips;805.0;Pizza + palačinke;1350.0;2975;2000;;;
2021-05-09;NED;Dvopek + salama + sirić + ketchup;730.0;Big mac + pomfrit + 6x nuggetsa;1210.0;2x kuglice + 2x kfile + pašteta;960.0;2900;2000;;;
2021-05-10;PON;2x mini peciva (s.s.k);370.0;3x grillana tortille + malo m&m;1190.0;2x sendvič (s.s.k);620.0;2180;2000;;;
2021-05-11;UTO;/;0.0;2x hamburgera;1555.0;2x slanca + pašteta + kuglice;975.0;2530;2150;;;
2021-05-12;SRI;2x slanca + pašteta;590.0;B.meso + riža;490.0;2x sendvič (s.s.k.m.l) + keks;790.0;1870;2100;;;
2021-05-13;ČET;1x sendvič (s.s.k) + keks;420.0;Grah s tijestom + 2x faširanca + vrhnje;1180.0;Grah s tijestom + keks + 2x sendvič (s.s.k);1670.0;3270;2150;;;
2021-05-14;PET;8x forneta;400.0;B.meso + pire;575.0;2x sendvič (b.m.s.k.m.l);720.0;1695;2000;;;
2021-05-15;SUB;2x sendvič (b.m.s.k.m.l) + protein puding + bananko;820.0;Kobasica + grašak;520.0;Protein puding + forneti;1760.0;3100;2050;;;
2021-05-16;NED;Forneti + protein jogurt;750.0;Malo zabatka + 3x lepinjice + kuglice;615.0;4x šnitice (p.m.l) + kuglice + kokice;1340.0;2705;2000;;;
2021-05-17;PON;2x mini sendivča (č.s.k);250.0;6x mini šnite (s.s.k) + spicy čips + kuglice;1080.0;2x tanjur špageta ;1320.0;2650;2050;;;
2021-05-18;UTO;1x sendvič (č.s.k);400.0;1x tanjur špageta + 1x sendvič (č.s.k);1060.0;1x pahuljica + 2x sendvič (č.s.k);1370.0;2830;2000;;;
2021-05-19;SRI;2x sendvič (s.s.k) + evita;860.0;B.meso + pire;535.0;2x sendvič (s.s.k);620.0;2015;2000;;;
2021-05-20;ČET;1x + 2x sendvič (s.s.k) + petit keksi;1210.0;3x lisnato sa sirom i mesom;900.0;Sladoled;200.0;2310;2000;;;
2021-05-21;PET;1x + 2x sendvič (s.s.k);930.0;Protein puding + krumpir-tijesto;810.0;4x šnite domaćeg kruha (m.luk + pašteta);750.0;2490;2050;;;
2021-05-22;SUB;2x lisnato sa sirom i mesom + protein puding;810.0;1,5x faširanca + riža;470.0;/;0.0;1280;2000;;;
2021-05-23;NED;2x šnite kruha (sirić);240.0;B.meso + krumpir;555.0;Ribice + b.meso + krumpir + pereci;1015.0;1810;2000;;;
2021-05-24;PON;2x mini sendvič (sirić) + 2x sendvič (s.s.k);980.0;petit keksi + pureći noodles;780.0;2x sendvič (s.s.k);620.0;2380;2000;;;
2021-05-25;UTO;1x sendvič (s.s.k) + dvopek (s.s.k);1040.0;2x lidl pizza;1350.0;Sladoled;210.0;2600;2000;;;
2021-05-26;SRI;1x sendvič (s.s.k);310.0;B. meso + kroketi;1185.0;2x topla sendviča + malo čoko;810.0;2305;2300;;;
2021-05-27;ČET;1x sendvič (s.s.k) + sirnica;730.0;B. meso + kroketi;1185.0;Sladoled + 2x sendvič (s.s.k);930.0;2845;2200;;;
2021-05-28;PET;1x sendvič (s.s.k) + 1x sendvič (čs.k);650.0;1x tanjur graha + 2x šnite kruha;630.0;Roštilj + dodaci + torta + 2 sendvič (č.s.k);1570.0;2850;2000;;;
2021-05-29;SUB;2 sendvič (č.s.k) + sladoled;830.0;Grah s tijestom + čoko.;740.0;2 sendvič (č.s.k) + čoko. + grah;1360.0;2930;2050;;;
2021-05-30;NED;2 sendvič (č.s.k) + čoko.;780.0;Krizma + pizza + čoko.;1635.0;2x sendvič (č.m.s);900.0;3315;2100;;;
2021-05-31;PON;2x sendvič (č.m.s);720.0;3x kifle;375.0;B. meso + riža + sladoled;945.0;2040;2100;;;
2021-06-01;UTO;2x sendvič (č.s.k.m.l);660.0;/;0.0;2x tanjura špageta;1320.0;1980;2000;;;
2021-06-02;SRI;2x sendvič (č.s.k.m.l) + ribice;1040.0;2,5x faširanca + pire;550.0;2x sendvič (f.s.k.m.l) + ribice;1045.0;2635;2000;;;
2021-06-03;ČET;2x sendvič (č.s.k.m.l);660.0;3x faširanca + kroketi;790.0;2x hamburgera + 2x sendvič (s.s.k);1520.0;2970;2050;;;
2021-06-04;PET;2x sendvič (s.s.k);620.0;/;0.0;2x hotdoga + 2x sendvič (s.s.k) + krekeri;1730.0;2350;2050;;;
2021-06-05;SUB;2x sendvič (č.s.k) + ceda;710.0;3x tortille;1455.0;3x komada pizza + ceda + ribice;1150.0;3315;2200;;;
2021-06-06;NED;2x tortille;970.0;Ribice;205.0;Kroasane;1040.0;2215;2000;;;
2021-06-07;PON;Kroasane + pašteta + jogrut;1185.0;B.meso + grašak;865.0;2x sendvič (č.s.k) + ceda;710.0;2760;2000;;;
2021-06-08;UTO;1x sendvič (č.s);290.0;B.meso + pomfrit + ketchup + jogurt;1365.0;2x peciva (bms.m.l) + sladoled + bobi tuc;1475.0;3130;2000;;;
2021-06-09;SRI;1x sendvič (s.s.k);310.0;Čufte + kruh;915.0;2x sendvič (č.s.k.m.l) + ceda + sladoled;1005.0;2230;2150;;;
2021-06-10;ČET;1x sendvič (č.s);290.0;2x tortille (čufte) + sladoled;1110.0;2x sendvič (č.s.k.m.l) + banana;820.0;2220;2050;;;
